track_name,price,rating_count_tot,user_rating,prime_genre
"Mega Millions & Powerball - lottery games in the US with winning number results, lotto jackpots and prize payouts",0.0,1255,4.5,Lifestyle
Cake Doodle,1.0,5803,4.0,Games
The Impossible Quiz! for iPad,1.0,227,4.0,Games
Boating USA,1.0,342,3.5,Navigation
Diptic,1.0,7578,4.5,Photo & Video
Family Feud™ HD,1.0,1156,3.5,Games
Edmodo,0.0,7197,3.5,Education
Auto Palmistry Premium,1.0,5,3.0,Entertainment
Drift Mania Championship,1.0,3432,3.0,Games
「宅建士」過去問題《受験用》,1.0,0,0.0,Education
Osmos for iPad,1.0,24306,4.5,Games
携程旅行-酒店、机票、火车票预订助手,0.0,312,3.5,Travel
"Audible – audio books, original series & podcasts",0.0,105274,4.5,Book
Living Earth - Clock & Weather,1.0,25475,4.5,Utilities
Sushi Cat,1.0,8718,4.0,Games
Talking Tom Cat for iPad,0.0,29492,3.5,Entertainment
Let's create! Pottery HD,1.0,12787,4.5,Entertainment
Files HD Pro - File Manager & Web Browser,1.0,2237,4.0,Utilities
Army Fitness APFT Calculator,1.0,108,4.0,Utilities
Ringtones for iPhone & Ringtone Maker,0.0,25403,4.5,Music
Zoopla Property Search -UK Homes for Sale and Rent,0.0,210,3.5,Lifestyle
Vestiaire Collective - Pre-Owned Luxury Fashion,0.0,169,4.0,Shopping
Week Calendar,1.0,7447,4.5,Productivity
Stack the States®,1.0,12833,4.5,Education
Flashlight Ⓞ,0.0,130450,5.0,Utilities
ゲーム発展国＋＋,1.0,6,4.0,Games
Celebtwin: Celebrity Looks Like Lite,0.0,1111,1.5,Lifestyle
Onefootball - Soccer Scores & Live News,0.0,3194,4.5,Sports
SuperCam_Pro,1.0,1399,2.5,Business
カロリー管理（痩せるアプリ）,1.0,10,4.5,Health & Fitness
手机百度 - 百度一下你就得到,0.0,1990,4.5,Utilities
Sam's Club: Wholesale Shopping & Bulk Buy Deals,0.0,8149,4.0,Shopping
Splashtop Personal - Remote Desktop,1.0,29376,4.5,Business
eBay Kleinanzeigen - Free. Easy. Local.,0.0,74,4.5,Shopping
Viber Messenger – Text & Call,0.0,164249,4.5,Social Networking
Osmos,1.0,14605,4.5,Games
shopkick - Shopping Rewards & Discounts,0.0,130823,4.5,Shopping
Decide Now!,1.0,486,4.5,Entertainment
